review_id,agg_mean,n_aspects_scored,reviewText,overall,stars_norm,status,latency_ms,usage_total_tokens
ELECTRONICS_345293,-0.5,2,"I bought this card to replace an existing tuner card that doesn't have HD capability.  I use comcast cable and Windows XP Media Center Edition 2005.I'll be switching back to the old card for the following reasons:- The audio is completely messed up.  Try searching for this product with the search term ""audio sync"" and see I'm not alone.  The card works for a while then the audio gradually gets more and more out of synch with the video, until it's off by up to two seconds.  Completely useless and unwatchable.- The picture quality is poor.  Compared to my old non-HD card, the picture quality is quite noticably worse.  Who cares though, the audio problem is a show stopper.I did not buy this from Amazon, I'm just hoping to save someone else the mistake of buying this thing.",1,-1.0,ok,2035.459280014038,342
ELECTRONICS_391311,-0.6666666666666666,3,"My company recently moved me into an area that could not get noisier.  I would have better luck getting work done at a Kid Rock concert.  Actually, that is what I was doing.  Blasting my music to drowned out all the constant chatter.When I was in the electronic engineering field we had offices. When the door was closed that meant you were in a meeting or deep into your work. Unless it was an emergency, rarely was there a knock. You'd get a polite email asking for you to let them know when you were free.Not so in the software industry.  Now we are all in cube farms with constant racket and chatter.  I got these in hopes that the noise cancellation would allow me to keep the music volume down.  No luck.  The noise cancelation increases the volume a little but does nothing to drowned out the external noises.I know over the ear noise cancellation works best, but wearing glasses does not allow me to use those.The biggest negative though is these things can only be worn for a short time.  The buds are attached to a big plastic knob that pushes against your outer ear canal.  After an hour or two your ear starts hurting.  If you force yourself to continue wearing them after that, you end of with a soar ear the rest of the night.Over all I recommend going with a different brand unless you have really big outer ear canals and don't really mind that the noise cancellation does not work.",1,-1.0,ok,2558.7873458862305,481
ELECTRONICS_405550,0.7857142857142857,14,"Sometimes when you travel there is no USB port on a laptop or AC outlet on a wall that is available to power your electronic devices when their battery charges start running low. This product is perfect for those situations. It is nice and compact, and comes with multiple adaptors to power and/or recharge a wide variety of electronic products. The included adaptors provide a backup for my iPod Touch 2G, iPod Nano 2G, Samsung cell phone, bluetooth headset, Garmin Forerunner 305, and Garmin Nuvi 660.Additional adaptors for other gadgets(such as for the Amazon Kindle) are available at a modest price.Here are a few comments to keep in mind:1. You can charge only one item at a time. Therefore when you reach your destination and have access to an AC outlet, if you wish to charge multiple items simultaneously, this is not the item to do that (I recommend the Callpod, which I have reviewed on Amazon). [But see my April 24, 2010 update below. I figured out a way to do it and no longer use the Callpod.]2. If you have a USB AC adaptor that you use for your iPod Touch or Nano, it will work fine to charge this unit. There is no need to buy a separate adaptor.3. Once the unit is fully charged, you can just leave it plugged in to the charging source (I checked with Tekkeon tech support, which is very helpful and responds quickly). That way you can be sure that the unit will always have a full charge when you need it.4. This unit will not power a laptop or comparable electronic product. But Tekkeon does sell more powerful (and more expensive) units that will do so.5. I chose this unit rather than the less expensive MP 1550, which runs on AA or rechargeable batteries, because in my experience I have found that a power source with its own internal battery lasts longer than one relying on batteries. Of course, the flip side is that once this unit runs out of power, you can't just pop some fresh batteries in. However, that is not an issue for me, though something that you may want to consider.This product looks nice, is simple to operate, and does what it says. I am very happy with it.Update August 22, 2009: I like this so much that I use it at home on a daily basis. The unit has two USB ports--a mini and a regular. Using the included retractable cable, I plug one end into the mini on the unit and the other end (which has a regular USB) into an Apple travel charger that is plugged into the wall. That way this unit is always at full charge if I take it on a trip. I use the free regular USB port on the unit to charge a variety of devices (though one at a time) that come with a USB cable, such as my BlackBerry and iPod Touch [But see April 24 update below re how to charge more than one at a time]. It is more convenient for me to charge them on this unit than to plug them into my laptop (which I do only when I need to sync data).I have also found the built in flashlight on this unit a nice feature to have when rummaging through my bags looking for some gizmo that I can't find.Update November 24, 2009: I recently stayed in a very nice hotel where the bedroom was really dark at night, but there was no nightlight in the bathroom. Solution: I just turned the flashlight on this unit on all night (8 hours)in the bathroom. Not only did the light last through the night, but it took only a relatively short time (less than 20 minutes) to restore the unit to a full charge.Update April 16, 2010: Customer service for this company is first rate. On a recent trip I realized that I did not have a micro USB tip that would fit my BlackBerry Tour and Kindle 2. I emailed customer service after I returned home, and was advised that this tip was supposed to be included with the product. But since I bought my unit over a year ago, it was not included then. When I explained the situation to Jerry at customer service, he mailed me the tip at no cost within 24 hours. It's always nice to know that a quality product comes with quality customer service.Update April 24, 2010: If you would like to use this product to simultaneously power more than one USB device at a time, there is an easy way to do it. I use the Belkin mini USB 2.0 hub (which I have reviewed on Amazon) and plug it into this unit, and now have four USB ports for my gadgets. The more gadgets you plug in, the faster you will drain the unit. But it is handy, for example, on a longer plane ride or at the beach for my wife and me to each plug our Slacker G2 players into the hub, which is in turn connected to the MP 1800, in order to extend the playing time. I also use the same technique for my Kindle 2, BlackBerry Tour, iPod Touch, and Garmin Forerunner 405CX.Also, when you arrive at your destination, just connect this unit to an AC adaptor as I described in an earlier comment above, connect the hub to this unit, and now with AC power you can simultaneously not only recharge this unit, but also recharge up to four USB devices--all without a computer or bringing along the separate USB adaptors for each device (though being a ""belts & suspenders"" kind of guy, I still bring them along just in case for some reason the hub should fail since ""Murphy's law""--if something can go wrong, it will go wrong--has kicked in on more than one vacation). Note: What I have described only works with the type of relatively low power draw USB devices that I have mentioned above. Also if you are drawing too much power for all the devices connected, the light will flash on the Belkin mini hub and/or on the Tekkeon MP1800. If that happens, just disconnect one or more devices until the flashing stops.Update September 11, 2011: Due to Hurricane Irene, the area in which we live was flooded and my wife and I were trapped in the house for 24 hours until the flood waters receded. We lost all power, and to my dismay the corded land line phone had gone dead. That left me with only my BlackBerry to communicate with friends and family.Power was not restored until four days later, but in the interim I had to return home during the day to supervise flood restoration crews and other persons. Each night I charged the Tekkeon at our friends' house, and brought it with me to my home during the day so I could keep my BlackBerry charged to make and receive calls and email. It worked like a champ.Bottom line: In emergency conditions, this unit proved critical and performed flawlessly.Update July 24, 2012: The unit recently ""died."" When I plug it in to charge, the green light goes on and the flashlight works, but the second I disconnect it from the USB charging source, the green light goes off and nothing works. Customer service said it could be a defective switch, but I am well beyond the one year warranty period. However, I may continue to bring this as a nightlight when I travel since the flashlight will work so long as the unit is connected to a power source.Update August 7, 2012: I now use the Powergen mobile juice pack 5200, which I have reviewed on Amazon, and like it even better than this unit.",5,1.0,ok,6596.437454223633,1994
ELECTRONICS_530397,-0.5,2,"Short story: with another 3' cable, will not charge phone fast, results in a slow charge.I bought these along with a 3ft Male to Micro USB 2.0 AmazonBasics cable.  The idea was to charge my phone with them.  My micro connectors tend to break/wear out so I thought an extension would work well.  (aka just buy the smaller cable to replace rather than the long cable)The two combined when plugged into my stock Moto X wall plug is a slow charge. If I take the smaller 3ft cable and plug it directly into the charger I get a fast charge.I've done some reading online and the consensus is that the extension cables are NOT GOOD for charging.  The act of extending (connecting the two cables) introduces resistance to the line and thus they slow the power that can flow to the device.I would have been smarter to buy two 12ft cables from another well known cable website for the same money.  I could have bought  2x the cables even if not extension cables, I could have bought 2x the cables and just worn through them.",1,-1.0,ok,1888.3609771728516,392
ELECTRONICS_595439,0.4,5,"OK here is the thing. this GREAT GREAT HEAT SINK. I overcloked Phenom2 quad(black 965) from 3.4 all thw way to 4.08Ghz and at max load for this cpu does not go over 35. WOW great cooler for under 30 bucks, but here is the thing@!IF u are replacing the heat sink of a older one you will have to unplug all the wires and (((take the board out)))/ and do some work on the back of the motheboard also needs to be done to hold the heat sink. Besisdes that it's super. It does come with ONE FAN, other one is very simple to put on. get a splitter and run them both of cpu fan slot.",4,0.5,ok,2980.7050228118896,375
ELECTRONICS_658974,0.628125,16,"I am not a music buff and I am not an expert on sounds, but as an average Joe, I enjoy and appreciate good audio from my headphones. And this Sennheiser RS 170 Digital Wireless Headphone delivers it!1. THE SOUND: The audio quality is excellent. The enclosed headphone captures the all types of sound very well. I was able to hear all the background vocals, instruments, noises, and subtleties with ease. The digital sound is crisp and clear. Immensely enjoyable.2. THE WIRELESS: When it comes to the wireless capacity, each user might have different experience since it depends on your home. I live in ~1900 square feet (2 floors, attached garage) home. I was able hear the sound WHILE moving around the house (everywhere) without any drop in the sound. So when I was doing chores in the house (moving around floor to floor), I was able to enjoy the music without any drops. HOWEVER, when I was outside of the house, the sound was fine ONLY when I was still, but when I walked around outside of the house, the sound dropped frequently. If you want to use it outside, then you need to move the transmitter (and the music device) outside of your home and connect it to the outside outlet.3. THE HEADPHONE: It is comfortable, adjustable, but bit heavy (it has 2 AAA rechargeable batteries  - 1 on each side). So you need to get used to it. It has power, volume, dynamic bass boost, and 3D surround buttons on the right side of the headphone - which are small buttons, but great option. Since it covers your ears, it may cause you to sweat a little if you move around.4. THE TRANSMITTER: The transmitter comes with many options (power plug accessories for international usage) and cables for different electronic devices (TV, iPod, CD & Radio Player, etc). There is NO battery option for the transmitter. It needs to be plugged to the outlet all the time to be used. Also, the transmitter is used as rechargeable station for your headphone (the headphone has 2 AAA rechargeable battery on each side), which is an excellent idea. Also note that when you use the headphone - you MUST power on the transmitter AND the headphone each time you use it. There is no auto-power on.Overall, I LOVE this product - yes, it is a bit pricey, but it is a quality built and can be used with many electronic devices in the home. My wife loves it, when I go to bed she puts the wireless headphone on and watches TV from the bed - enjoying its undisturbed sound without disturbing me!  Highly recommended!",5,1.0,ok,8380.062341690063,1004
ELECTRONICS_716537,-1.0,9,"I wish Logitech would get some decent Mac programmers. Honestly. I've used a number of keyboard/mouse combinations over the years from them because they make the nicest feeling peripherals in the price range, but their Mac support sucks. They install a crappy control panel, make you restart, settings don't stick between reboots and half the time the peripherals aren't recognized by the software.Take this KB/mouse combo, for example. I downloaded latest Logitech Control Center this morning (3.3.0) and I'm running OS X 10.6.4. I installed and restarted and the keyboard still isn't recognized by the software so I can configure it properly. The most basic thing they could have possibly done - remapping the cmd and option keys so they are in the right places - doesn't even get done. And there's no way to change it in the settings. As I've said, I've used many Logitech keyboards in the past so I usually just remap them manually using the Keyboard pref pane. That *doesn't work with this device* because of the newfangled USB Unity thing. I can't remap the keys at all. Worse, trying to remap them kills the mouse button mappings (switching the CMD and option keys in the Keyboard pref pane also does it for the custom mappings on the mouse). I don't know who's fault this is - Apple's or Logitech's - but I don't care. The KB/mouse is nigh on unusable in OS X.The only reason it gets 3 stars is because it works well in Windows. Stay away if you primarily use OS X.",3,0.0,ok,4798.727989196777,635
ELECTRONICS_792958,0.6777777777777777,9,"It seems to be a well-made and engineered carrying case for my slim 1 TB portable Seagate drive.  There's an internal webbing compartment for storing cords, etc, which I use both for the proprietary USB cable, as well as for a spare external battery charger for my phone.  The case is probably twice the volume you need for just the skinny hard drive.  It's a hard case, though I wouldn't test it by trying to stomp on it.  It'll certainly survive anything done to your luggage, carry-on or otherwise.",5,1.0,ok,5218.4600830078125,419
ELECTRONICS_818158,0.5714285714285714,7,"Does this speaker claim to be a Superman among speakers and produce full, high fidelity sound that fills a house? No. But it succeeds at being all it can be. It has very decent sound for the price (if you fool around with the equalizer, which is accessible only through the Fidelio app), it turns your iphone or ipod or laptop or whatever peripheral you have into an awesome source of portable sound, it has a respectable amount of bass (albeit a little muddy), a 1/4"" to 1/4"" connection, a sleek design, and... wait for it... it can be powered by AA batteries. No, it doesn't have a remote, but this speaker was not meant to sit on a pedestal on one end of your 100 ft. loft with you on the other end in a recliner. However, it does get fairly loud and I can still make out distinct words and instruments from another room. I bought it for a cruise, to replace my jacked JBL creatures for laptop listening, for the patio when I'm screwing in fence planks, for camping trips, and for its incredible value.",5,1.0,ok,3778.140068054199,480
ELECTRONICS_903364,0.2,5,"I bought this cam to see what my dog was up to during the day. The directions were pretty stright forward. Only you do not need a DDNS to use this over the internet. My ip hasn't changed in months, and I can have the camera e-mail me my external IP, so it's easy to use. Find your external IP whatsmyip.com and set up an http port.. something like 8080 will work, and then forward that port on your wireless router(google for this). Then in your URL [...]  a web page will pop up and you can enter the default passwords to get in.",5,1.0,ok,3186.5947246551514,351
